time,ohm_holders,s_ohm_holders,homies
2021-11-15 00:00,7435,59725,67160
2021-11-14 00:00,7292,59058,66350
2021-11-13 00:00,7213,58059,65272
2021-11-12 00:00,7173,57044,64217
2021-11-11 00:00,7079,56003,63082
2021-11-10 00:00,6956,55080,62036
2021-11-09 00:00,6850,54312,61162
2021-11-08 00:00,6655,53601,60256
2021-11-07 00:00,6547,52615,59162
2021-11-06 00:00,6473,51583,58056
2021-11-05 00:00,6454,50481,56935
2021-11-04 00:00,6350,49349,55699
2021-11-03 00:00,6256,47758,54014
2021-11-02 00:00,6046,46597,52643
2021-11-01 00:00,5962,45559,51521
2021-10-31 00:00,5840,44646,50486
2021-10-30 00:00,5764,43673,49437
2021-10-29 00:00,5741,42604,48345
2021-10-28 00:00,5632,41580,47212
2021-10-27 00:00,5474,40565,46039
2021-10-26 00:00,5295,39523,44818
2021-10-25 00:00,5085,38177,43262
2021-10-24 00:00,4939,36828,41767
2021-10-23 00:00,4850,35705,40555
2021-10-22 00:00,4813,34439,39252
2021-10-21 00:00,4747,33791,38538
2021-10-20 00:00,4716,33137,37853
2021-10-19 00:00,4687,32285,36972
2021-10-18 00:00,4748,31368,36116
2021-10-17 00:00,4642,30635,35277
2021-10-16 00:00,4530,29577,34107
2021-10-15 00:00,4841,28661,33502
2021-10-14 00:00,4221,27804,32025
2021-10-13 00:00,4072,26905,30977
2021-10-12 00:00,3906,25778,29684
2021-10-11 00:00,3824,24792,28616
2021-10-10 00:00,3573,23887,27460
2021-10-09 00:00,3495,23145,26640
2021-10-08 00:00,3443,22225,25668
2021-10-07 00:00,3382,21380,24762
2021-10-06 00:00,3277,20650,23927
2021-10-05 00:00,3088,20192,23280
2021-10-04 00:00,3005,19627,22632
2021-10-03 00:00,2844,19034,21878
2021-10-02 00:00,2767,18410,21177
2021-10-01 00:00,2744,17801,20545
2021-09-30 00:00,2681,17343,20024
2021-09-29 00:00,2591,16762,19353
2021-09-28 00:00,2525,16316,18841
2021-09-27 00:00,2509,15994,18503
2021-09-26 00:00,2470,15595,18065
2021-09-25 00:00,2450,15233,17683
2021-09-24 00:00,2456,14848,17304
2021-09-23 00:00,2430,14380,16810
2021-09-22 00:00,2357,13735,16092
2021-09-21 00:00,2315,13267,15582
2021-09-20 00:00,2264,13015,15279
2021-09-19 00:00,2206,12830,15036
2021-09-18 00:00,2159,12533,14692
2021-09-17 00:00,2138,12177,14315
2021-09-16 00:00,2103,11905,14008
2021-09-15 00:00,2058,11703,13761
2021-09-14 00:00,2047,11502,13549
2021-09-13 00:00,2043,11312,13355
2021-09-12 00:00,2012,11111,13123
2021-09-11 00:00,1989,10791,12780
2021-09-10 00:00,1988,10585,12573
2021-09-09 00:00,1981,10464,12445
2021-09-08 00:00,1980,10357,12337
2021-09-07 00:00,1976,10298,12274
2021-09-06 00:00,1952,10262,12214
2021-09-05 00:00,1935,10211,12146
2021-09-04 00:00,1938,10174,12112
2021-09-03 00:00,1934,10154,12088
2021-09-02 00:00,1902,10133,12035
2021-09-01 00:00,1892,10083,11975
2021-08-31 00:00,1875,10034,11909
2021-08-30 00:00,1851,10043,11894
2021-08-29 00:00,1841,9997,11838
2021-08-28 00:00,1818,9913,11731
2021-08-27 00:00,1828,9821,11649
2021-08-26 00:00,1809,9764,11573
2021-08-25 00:00,1787,9692,11479
2021-08-24 00:00,1787,9645,11432
2021-08-23 00:00,1773,9577,11350
2021-08-22 00:00,1755,9522,11277
2021-08-21 00:00,1744,9483,11227
2021-08-20 00:00,1730,9472,11202
2021-08-19 00:00,1733,9424,11157
2021-08-18 00:00,1728,9308,11036
2021-08-17 00:00,1721,9204,10925
2021-08-16 00:00,1702,9215,10917
2021-08-15 00:00,1711,9185,10896
2021-08-14 00:00,1709,9137,10846
2021-08-13 00:00,1676,9134,10810
2021-08-12 00:00,1687,9087,10774
2021-08-11 00:00,1701,8975,10676
2021-08-10 00:00,1634,8948,10582
2021-08-09 00:00,1614,8822,10436
2021-08-08 00:00,1572,8744,10316
2021-08-07 00:00,1557,8638,10195
2021-08-06 00:00,1548,8541,10089
2021-08-05 00:00,1531,8383,9914
2021-08-04 00:00,1504,8302,9806
2021-08-03 00:00,1483,8147,9630
2021-08-02 00:00,1478,8000,9478
2021-08-01 00:00,1467,7857,9324
2021-07-31 00:00,1483,7669,9152
2021-07-30 00:00,1412,7542,8954
2021-07-29 00:00,1370,7399,8769
2021-07-28 00:00,1330,7224,8554
2021-07-27 00:00,1304,7063,8367
2021-07-26 00:00,1286,6843,8129
2021-07-25 00:00,1249,6724,7973
2021-07-24 00:00,1252,6631,7883
2021-07-23 00:00,1264,6485,7749
2021-07-22 00:00,1223,6377,7600
2021-07-21 00:00,1213,6310,7523
2021-07-20 00:00,1206,6125,7331
2021-07-19 00:00,1186,5997,7183
2021-07-18 00:00,1112,5871,6983
2021-07-17 00:00,1049,5673,6722
2021-07-16 00:00,962,5461,6423
2021-07-15 00:00,903,5326,6229
2021-07-14 00:00,903,5249,6152
2021-07-13 00:00,886,5161,6047
2021-07-12 00:00,869,5033,5902
2021-07-11 00:00,867,4939,5806
2021-07-10 00:00,855,4886,5741
2021-07-09 00:00,851,4778,5629
2021-07-08 00:00,852,4732,5584
2021-07-07 00:00,880,4679,5559
2021-07-06 00:00,885,4620,5505
2021-07-05 00:00,836,4635,5471
2021-07-04 00:00,829,4569,5398
2021-07-03 00:00,831,4508,5339
2021-07-02 00:00,819,4445,5264
2021-07-01 00:00,803,4359,5162
2021-06-30 00:00,795,4197,4992
2021-06-29 00:00,752,4081,4833
2021-06-28 00:00,750,4067,4817
2021-06-27 00:00,747,4016,4763
2021-06-26 00:00,743,3920,4663
2021-06-25 00:00,749,3858,4607
2021-06-24 00:00,756,3797,4553
2021-06-23 00:00,769,3717,4486
2021-06-22 00:00,774,3608,4382
2021-06-21 00:00,794,3594,4388
2021-06-20 00:00,790,3526,4316
2021-06-19 00:00,782,3471,4253
2021-06-18 00:00,783,3380,4163
2021-06-17 00:00,780,3357,4137
2021-06-16 00:00,774,3341,4115
2021-06-15 00:00,792,3304,4096
2021-06-14 00:00,831,3305,4136
2021-06-13 00:00,808,3323,4131
2021-06-12 00:00,782,3324,4106
2021-06-11 00:00,788,3332,4120
2021-06-10 00:00,786,3345,4131
2021-06-09 00:00,780,3328,4108
2021-06-08 00:00,773,3296,4069
2021-06-07 00:00,763,3271,4034
2021-06-06 00:00,763,3243,4006
2021-06-05 00:00,754,3209,3963
2021-06-04 00:00,725,3189,3914
2021-06-03 00:00,727,3169,3896
2021-06-02 00:00,727,3143,3870
2021-06-01 00:00,718,3128,3846
2021-05-31 00:00,722,3114,3836
2021-05-30 00:00,721,3088,3809
2021-05-29 00:00,716,3086,3802
2021-05-28 00:00,718,3072,3790
2021-05-27 00:00,719,3077,3796
2021-05-26 00:00,724,3052,3776
2021-05-25 00:00,711,3051,3762
2021-05-24 00:00,720,3046,3766
2021-05-23 00:00,715,3003,3718
2021-05-22 00:00,711,3037,3748
2021-05-21 00:00,714,3038,3752
2021-05-20 00:00,710,3040,3750
2021-05-19 00:00,713,3043,3756
2021-05-18 00:00,705,3062,3767
2021-05-17 00:00,703,3050,3753
2021-05-16 00:00,709,3051,3760
2021-05-15 00:00,712,3033,3745
2021-05-14 00:00,713,3005,3718
2021-05-13 00:00,706,3002,3708
2021-05-12 00:00,702,3017,3719
2021-05-11 00:00,705,3026,3731
2021-05-10 00:00,706,3044,3750
2021-05-09 00:00,702,3043,3745
2021-05-08 00:00,699,3049,3748
2021-05-07 00:00,691,3028,3719
2021-05-06 00:00,703,2998,3701
2021-05-05 00:00,714,2983,3697
2021-05-04 00:00,714,2952,3666
2021-05-03 00:00,707,2938,3645
2021-05-02 00:00,705,2914,3619
2021-05-01 00:00,718,2845,3563
2021-04-30 00:00,727,2771,3498
2021-04-29 00:00,727,2721,3448
2021-04-28 00:00,724,2598,3322
2021-04-27 00:00,724,2549,3273
2021-04-26 00:00,723,2490,3213
2021-04-25 00:00,716,2401,3117
2021-04-24 00:00,700,2306,3006
2021-04-23 00:00,679,2202,2881
2021-04-22 00:00,687,2124,2811
2021-04-21 00:00,653,1983,2636
2021-04-20 00:00,642,1938,2580
2021-04-19 00:00,643,1914,2557
2021-04-18 00:00,658,1884,2542
2021-04-17 00:00,611,1839,2450
2021-04-16 00:00,576,1808,2384
2021-04-15 00:00,572,1781,2353
2021-04-14 00:00,561,1757,2318
2021-04-13 00:00,573,1714,2287
2021-04-12 00:00,559,1688,2247
2021-04-11 00:00,562,1649,2211
2021-04-10 00:00,554,1574,2128
2021-04-09 00:00,542,1521,2063
2021-04-08 00:00,519,1455,1974
2021-04-07 00:00,509,1387,1896
2021-04-06 00:00,500,1332,1832
2021-04-05 00:00,510,1304,1814
2021-04-04 00:00,492,1258,1750
2021-04-03 00:00,474,1222,1696
2021-04-02 00:00,453,1168,1621
2021-04-01 00:00,421,1148,1569
2021-03-31 00:00,405,1145,1550
2021-03-30 00:00,400,1128,1528
2021-03-29 00:00,397,1041,1438
2021-03-28 00:00,386,1030,1416
2021-03-27 00:00,367,951,1318
2021-03-26 00:00,300,726,1026
2021-03-25 00:00,436,459,895
2021-03-24 00:00,481,356,837
2021-03-23 00:00,539,258,797
2021-03-22 00:00,2,1,3