time,treasury_mv,xsushi_mv,weth_mv,lusd_mv,frax_mv,dai_mv
2021-10-29 00:00,"$665,465,699.00","$1,302,274.00","$23,629,942.00","$169,105,052.00","$50,446,306.00","$420,982,124.00"
2021-10-28 00:00,"$664,163,835.00","$1,246,354.00","$20,740,941.00","$169,969,986.00","$51,052,926.00","$421,153,628.00"
2021-10-27 00:00,"$630,768,233.00","$1,350,114.00","$19,188,900.00","$164,112,882.00","$49,132,674.00","$396,983,663.00"
2021-10-26 00:00,"$624,218,142.00","$1,344,307.00","$15,927,389.00","$164,404,194.00","$49,299,959.00","$393,242,294.00"
2021-10-25 00:00,"$631,713,066.00","$1,230,861.00","$10,716,553.00","$165,931,837.00","$50,925,687.00","$402,908,128.00"
2021-10-24 00:00,"$598,744,930.00","$1,264,830.00","$10,135,111.00","$157,595,132.00","$49,350,987.00","$380,398,869.00"
2021-10-23 00:00,"$566,245,831.00","$1,241,003.00","$9,312,716.00","$145,790,810.00","$47,769,380.00","$362,131,924.00"
2021-10-22 00:00,"$526,192,900.00","$994,829.00","$9,463,307.00","$133,117,714.00","$45,661,239.00","$336,955,811.00"
2021-10-21 00:00,"$499,734,131.00","$1,003,305.00","$9,145,297.00","$125,494,498.00","$44,498,067.00","$319,592,964.00"
2021-10-20 00:00,"$492,294,090.00","$971,851.00","$8,395,641.00","$121,882,365.00","$45,020,397.00","$316,023,835.00"
2021-10-19 00:00,"$455,115,769.00","$973,892.00","$8,025,865.00","$109,011,412.00","$43,055,566.00","$294,049,034.00"
2021-10-18 00:00,"$434,040,016.00","$987,963.00","$8,046,192.00","$99,713,005.00","$42,033,049.00","$283,259,808.00"
2021-10-17 00:00,"$426,473,463.00","$1,021,130.00","$7,808,871.00","$93,260,958.00","$42,148,720.00","$282,233,784.00"
2021-10-16 00:00,"$424,902,259.00","$1,029,892.00","$7,704,072.00","$89,044,012.00","$42,659,045.00","$284,465,237.00"
2021-10-15 00:00,"$450,605,338.00","$961,909.00","$7,346,916.00","$88,509,003.00","$45,822,144.00","$307,965,366.00"
2021-10-14 00:00,"$459,108,105.00","$934,913.00","$7,033,812.00","$86,244,661.00","$47,561,695.00","$317,333,025.00"
2021-10-13 00:00,"$468,895,481.00","$805,015.00","$6,822,413.00","$82,532,788.00","$49,452,554.00","$329,282,712.00"
2021-10-12 00:00,"$429,497,279.00","$794,431.00","$6,425,900.00","$68,122,358.00","$46,719,669.00","$307,434,922.00"
2021-10-11 00:00,"$394,741,995.00","$836,120.00","$6,097,190.00","$48,206,159.00","$45,359,301.00","$294,243,225.00"
2021-10-10 00:00,"$375,859,769.00","$860,897.00","$6,112,729.00","$38,452,048.00","$44,199,961.00","$286,234,134.00"
2021-10-09 00:00,"$351,359,275.00","$860,326.00","$5,820,987.00","$30,247,582.00","$42,427,838.00","$272,002,541.00"
2021-10-08 00:00,"$327,098,481.00","$875,653.00","$5,623,527.00","$22,685,692.00","$40,550,596.00","$257,363,013.00"
2021-10-07 00:00,"$314,561,496.00","$838,669.00","$5,384,019.00","$18,997,479.00","$39,699,345.00","$249,641,984.00"
2021-10-06 00:00,"$296,835,670.00","$852,711.00","$5,242,500.00","$17,701,837.00","$38,342,271.00","$234,696,351.00"
2021-10-05 00:00,"$310,774,476.00","$832,978.00","$4,857,435.00","$16,218,715.00","$40,627,823.00","$248,237,525.00"
2021-10-04 00:00,"$302,274,304.00","$836,002.00","$4,829,426.00","$14,014,680.00","$40,429,747.00","$242,164,449.00"
2021-10-03 00:00,"$286,943,946.00","$819,462.00","$4,672,692.00","$10,077,034.00","$39,473,966.00","$231,900,792.00"
2021-10-02 00:00,"$266,828,245.00","$815,109.00","$4,403,300.00","$7,430,685.00","$37,782,002.00","$216,397,149.00"
2021-10-01 00:00,"$256,120,031.00","$798,541.00","$3,990,351.00","$5,808,355.00","$37,052,892.00","$208,469,892.00"
2021-09-30 00:00,"$252,827,485.00","$739,698.00","$3,703,538.00","$4,916,337.00","$37,359,296.00","$206,108,615.00"
2021-09-29 00:00,"$239,304,848.00","$723,815.00","$3,486,662.00","$3,153,371.00","$35,772,463.00","$196,168,538.00"
2021-09-28 00:00,"$222,905,891.00","$755,989.00","$3,421,470.00","$2,410,448.00","$33,898,594.00","$182,419,390.00"
2021-09-27 00:00,"$216,433,833.00","$822,287.00","$3,316,483.00","$1,745,859.00","$33,611,913.00","$176,937,291.00"
2021-09-26 00:00,"$206,119,315.00","$772,849.00","$2,995,620.00","$1,325,106.00","$32,474,531.00","$168,551,210.00"
2021-09-25 00:00,"$202,142,418.00","$698,300.00","$2,997,398.00","$1,114,871.00","$32,269,611.00","$165,062,238.00"
2021-09-24 00:00,"$201,609,221.00","$690,739.00","$2,980,622.00","$935,868.00","$32,682,471.00","$164,319,520.00"
2021-09-23 00:00,"$203,527,990.00","$750,165.00","$2,839,888.00","$935,868.00","$33,253,067.00","$165,749,001.00"
2021-09-22 00:00,"$195,928,278.00","$702,479.00","$2,449,034.00","$247,921.00","$32,536,095.00","$159,992,750.00"
2021-09-21 00:00,"$193,585,051.00","$725,361.00","$2,463,303.00",0,"$32,437,285.00","$157,959,102.00"
2021-09-20 00:00,"$177,746,910.00","$758,850.00","$2,459,435.00",0,"$30,357,941.00","$144,170,684.00"
2021-09-19 00:00,"$181,381,662.00","$803,359.00","$2,380,562.00",0,"$31,066,760.00","$147,130,981.00"
2021-09-18 00:00,"$172,263,627.00","$839,281.00","$2,252,937.00",0,"$30,074,150.00","$139,097,260.00"
2021-09-17 00:00,"$168,277,311.00","$870,490.00","$2,281,126.00",0,"$29,845,034.00","$135,280,662.00"
2021-09-16 00:00,"$162,385,972.00","$1,003,994.00","$2,204,797.00",0,"$28,982,692.00","$130,194,489.00"
2021-09-15 00:00,"$154,504,151.00","$876,881.00","$2,024,458.00",0,"$27,897,972.00","$123,704,840.00"
2021-09-14 00:00,"$149,904,591.00","$765,287.00","$1,898,700.00",0,"$27,425,347.00","$119,815,257.00"
2021-09-13 00:00,"$144,002,993.00","$715,976.00","$1,921,778.00",0,"$26,722,166.00","$114,643,073.00"
2021-09-12 00:00,"$144,948,411.00","$741,199.00","$1,770,745.00",0,"$27,017,109.00","$115,419,358.00"
2021-09-11 00:00,"$139,535,244.00","$667,965.00","$1,728,860.00",0,"$26,387,967.00","$110,750,452.00"
2021-09-10 00:00,"$134,646,940.00","$686,837.00","$1,783,428.00",0,"$25,789,488.00","$106,387,186.00"
2021-09-09 00:00,"$131,126,894.00","$728,305.00","$1,752,614.00",0,"$25,298,710.00","$103,347,266.00"
2021-09-08 00:00,"$125,514,868.00","$625,213.00","$1,649,094.00",0,"$24,514,564.00","$98,725,997.00"
2021-09-07 00:00,"$121,375,889.00","$660,080.00","$1,867,022.00",0,"$24,012,356.00","$94,836,431.00"
2021-09-06 00:00,"$120,116,557.00","$800,592.00","$1,766,590.00",0,"$23,890,239.00","$93,659,136.00"
2021-09-05 00:00,"$115,658,749.00","$802,773.00","$1,673,683.00",0,"$23,318,565.00","$89,863,728.00"
2021-09-04 00:00,"$112,219,164.00","$755,831.00","$1,649,833.00",0,"$22,741,490.00","$87,072,010.00"
2021-09-03 00:00,"$112,520,728.00","$759,564.00","$1,557,425.00",0,"$22,965,803.00","$87,237,935.00"
2021-09-02 00:00,"$109,822,078.00","$771,882.00","$1,520,269.00",0,"$22,584,525.00","$84,945,403.00"
2021-09-01 00:00,"$107,756,756.00","$738,332.00","$1,317,099.00",0,"$22,489,982.00","$83,211,344.00"
2021-08-31 00:00,"$105,991,067.00","$668,833.00","$1,212,274.00",0,"$22,349,949.00","$81,760,011.00"
2021-08-30 00:00,"$107,857,684.00","$649,984.00","$1,191,461.00",0,"$22,896,506.00","$83,119,733.00"
2021-08-29 00:00,"$108,592,865.00","$634,187.00","$1,163,638.00",0,"$23,168,029.00","$83,627,011.00"
2021-08-28 00:00,"$107,934,796.00","$655,722.00","$1,134,083.00",0,"$23,189,421.00","$82,955,569.00"
2021-08-27 00:00,"$104,501,318.00","$643,817.00","$1,015,737.00",0,"$22,696,563.00","$80,145,200.00"
2021-08-26 00:00,"$102,326,764.00","$647,166.00","$1,008,104.00",0,"$22,299,465.00","$78,372,029.00"
2021-08-25 00:00,"$97,154,911.00","$605,396.00","$941,698.00",0,"$21,478,263.00","$74,129,554.00"
2021-08-24 00:00,"$96,147,966.00","$648,196.00","$939,621.00",0,"$21,459,685.00","$73,100,463.00"
2021-08-23 00:00,"$95,092,059.00","$677,475.00","$873,166.00",0,"$21,353,506.00","$72,187,912.00"
2021-08-22 00:00,"$90,268,346.00","$672,556.00","$821,126.00",0,"$20,560,959.00","$68,213,705.00"
2021-08-21 00:00,"$87,261,330.00","$693,375.00","$782,148.00",0,"$20,052,291.00","$65,733,516.00"
2021-08-20 00:00,"$88,150,116.00","$688,352.00","$751,497.00",0,"$20,469,755.00","$66,240,512.00"
2021-08-19 00:00,"$88,142,373.00","$629,010.00","$680,201.00",0,"$20,565,675.00","$66,267,486.00"
2021-08-18 00:00,"$84,528,944.00","$623,790.00","$642,888.00",0,"$19,942,537.00","$63,319,728.00"
2021-08-17 00:00,"$80,061,835.00","$653,557.00","$627,072.00",0,"$19,116,977.00","$59,664,230.00"
2021-08-16 00:00,"$82,991,800.00","$616,184.00","$638,424.00",0,"$19,907,732.00","$61,829,460.00"
2021-08-15 00:00,"$83,371,699.00","$532,452.00","$605,692.00",0,"$20,195,658.00","$62,037,896.00"
2021-08-14 00:00,"$82,166,731.00","$543,314.00","$584,393.00",0,"$19,959,803.00","$61,079,221.00"
2021-08-13 00:00,"$86,580,777.00","$551,048.00","$538,849.00",0,"$21,135,635.00","$64,355,244.00"
2021-08-12 00:00,"$89,359,267.00","$497,828.00","$533,228.00",0,"$21,786,700.00","$66,541,510.00"
2021-08-11 00:00,"$84,623,184.00","$508,635.00","$470,009.00",0,"$21,003,335.00","$62,641,204.00"
2021-08-10 00:00,"$89,030,407.00","$452,273.00","$467,499.00",0,"$22,254,487.00","$65,856,148.00"
2021-08-09 00:00,"$87,037,237.00","$431,364.00","$399,076.00",0,"$21,992,806.00","$64,213,991.00"
2021-08-08 00:00,"$89,705,127.00","$406,918.00","$402,879.00",0,"$22,786,492.00","$66,108,838.00"
2021-08-07 00:00,"$88,197,063.00","$418,307.00","$318,861.00",0,"$22,705,236.00","$64,754,659.00"
2021-08-06 00:00,"$87,073,427.00","$383,966.00","$292,276.00",0,"$22,672,539.00","$63,724,646.00"
2021-08-05 00:00,"$83,090,230.00","$369,915.00","$197,320.00",0,"$21,866,917.00","$60,656,078.00"
2021-08-04 00:00,"$79,470,299.00","$332,438.00",0,0,"$21,278,173.00","$57,859,688.00"
2021-08-03 00:00,"$79,116,479.00","$327,505.00",0,0,"$21,370,723.00","$57,418,251.00"
2021-08-02 00:00,"$76,012,481.00","$322,875.00",0,0,"$20,754,763.00","$54,934,843.00"
2021-08-01 00:00,"$73,228,330.00","$336,326.00",0,0,"$20,074,306.00","$52,817,697.00"
2021-07-31 00:00,"$69,925,289.00","$320,532.00",0,0,"$19,495,972.00","$50,108,785.00"
2021-07-30 00:00,"$73,471,894.00","$316,218.00",0,0,"$20,676,364.00","$52,479,311.00"
2021-07-29 00:00,"$73,862,032.00","$266,066.00",0,0,"$20,848,824.00","$52,747,141.00"
2021-07-28 00:00,"$75,618,600.00","$269,884.00",0,0,"$21,334,258.00","$54,014,457.00"
2021-07-27 00:00,"$74,123,674.00","$265,903.00",0,0,"$20,715,026.00","$53,142,745.00"
2021-07-26 00:00,"$69,578,303.00","$299,099.00",0,0,"$19,288,676.00","$49,990,528.00"
2021-07-25 00:00,"$69,426,943.00","$262,319.00",0,0,"$19,170,713.00","$49,993,911.00"
2021-07-24 00:00,"$69,008,485.00","$273,002.00",0,0,"$18,892,308.00","$49,843,175.00"
2021-07-23 00:00,"$70,379,004.00","$261,194.00",0,0,"$18,949,138.00","$51,168,672.00"
2021-07-22 00:00,"$68,124,389.00","$230,382.00",0,0,"$18,158,165.00","$49,735,842.00"
2021-07-21 00:00,"$63,724,050.00","$185,326.00",0,0,"$16,839,629.00","$46,699,095.00"
2021-07-20 00:00,"$61,216,116.00","$173,414.00",0,0,"$16,046,457.00","$44,996,245.00"
2021-07-19 00:00,"$59,365,009.00","$185,082.00",0,0,"$15,388,755.00","$43,791,171.00"
2021-07-18 00:00,"$59,222,503.00","$207,896.00",0,0,"$15,118,507.00","$43,896,100.00"
2021-07-17 00:00,"$57,320,204.00","$185,419.00",0,0,"$14,462,508.00","$42,672,276.00"
2021-07-16 00:00,"$52,798,492.00","$166,706.00",0,0,"$13,262,080.00","$39,369,706.00"
2021-07-15 00:00,"$50,785,453.00","$167,026.00",0,0,"$12,710,116.00","$37,908,311.00"
2021-07-14 00:00,"$49,630,204.00","$159,446.00",0,0,"$12,273,459.00","$37,197,299.00"
2021-07-13 00:00,"$47,221,792.00","$168,219.00",0,0,"$11,419,614.00","$35,633,958.00"
2021-07-12 00:00,"$44,540,650.00","$163,256.00",0,0,"$10,393,024.00","$33,984,371.00"
2021-07-11 00:00,"$43,261,168.00","$166,839.00",0,0,"$9,774,866.00","$33,319,463.00"
2021-07-10 00:00,"$42,053,868.00","$167,585.00",0,0,"$9,233,998.00","$32,652,285.00"
2021-07-09 00:00,"$40,594,974.00","$157,814.00",0,0,"$8,612,991.00","$31,824,169.00"
2021-07-08 00:00,"$38,580,082.00","$146,320.00",0,0,"$7,994,550.00","$30,439,212.00"
2021-07-07 00:00,"$38,686,338.00","$165,221.00",0,0,"$7,695,243.00","$30,825,874.00"
2021-07-06 00:00,"$37,947,715.00","$152,319.00",0,0,"$7,279,362.00","$30,516,035.00"
2021-07-05 00:00,"$39,527,946.00","$127,011.00",0,0,"$7,462,380.00","$31,938,556.00"
2021-07-04 00:00,"$39,802,386.00","$132,181.00",0,0,"$7,072,897.00","$32,597,308.00"
2021-07-03 00:00,"$37,134,416.00","$122,055.00",0,0,"$6,432,255.00","$30,580,106.00"
2021-07-02 00:00,"$36,733,934.00",0,0,0,"$5,826,175.00","$30,907,759.00"
2021-07-01 00:00,"$34,635,756.00",0,0,0,"$5,152,430.00","$29,483,326.00"
2021-06-30 00:00,"$33,250,343.00",0,0,0,"$4,634,737.00","$28,615,606.00"
2021-06-29 00:00,"$30,391,353.00",0,0,0,"$3,869,200.00","$26,522,153.00"
2021-06-28 00:00,"$28,717,591.00",0,0,0,"$3,424,527.00","$25,293,063.00"
2021-06-27 00:00,"$28,403,169.00",0,0,0,"$3,105,946.00","$25,297,223.00"